"MLS #","Class","Property Type","Address","City","Zip","Neighborhood","Subdivision","Bedrooms","Total Baths","Total Living Area SqFt","Acres","Year Built","List Date","Closing Date","Days On Market","List Price","Sold Price"
"2446959","RESIDENTIAL","Single Family Residence","115 Majestic Peak Drive","Garner","27529",,"Ridgemoor","4","3","2,325","0-.25 Acres","2022","5/5/2022","6/27/2022","0","$433,075","$433,075"
"2453921","RESIDENTIAL","Single Family Residence","4301 Olde Waverly Way","Fuquay Varina","27526",,"Geneva","4","3","2,134","0-.25 Acres","2022","11/27/2021","6/30/2022","0","$433,090","$433,090"
"2446233","RESIDENTIAL","Townhouse","4604 Kings Garden Road","Raleigh","27612",,"Glenwood North Townhomes","3","3","1,629","0-.25 Acres","2007","5/2/2022","6/6/2022","3","$395,000","$433,100"
"2417346","RESIDENTIAL","Single Family Residence","355 Mallard Loop Drive","Clayton","27527","Bedford","Flowers Plantation","4","4","2,515","0-.25 Acres","2022","11/4/2021","5/24/2022","0","$422,901","$433,498"
"2437583","RESIDENTIAL","Single Family Residence","216 Truss Way","Durham","27704",,"Carpenter Pointe","3","2","1,648",".26-.5 Acres","2013","3/20/2022","4/26/2022","3","$360,000","$433,500"
"2359633","RESIDENTIAL","Single Family Residence","808 Martin Luther King Jr Boulevard","Raleigh","27601",,"Not in a Subdivision","3","3","1,650","0-.25 Acres","2019","12/15/2020","5/20/2022","0","$430,000","$433,683"
"2421587","RESIDENTIAL","Single Family Residence","1110 Depot Drive","Durham","27703",,"Brighton Station","4","3","2,518","0-.25 Acres","2022","12/2/2021","4/27/2022","0","$433,690","$433,690"
"2281219","RESIDENTIAL","Single Family Residence","1713 Castling Court","Wake Forest","27587",,"Bishops Grant","4","4","2,838",".51-.75 Acres","2020","9/29/2019","4/29/2022","0","$420,000","$434,130"
"2427719","RESIDENTIAL","Single Family Residence","1421 Justice Union Court","Raleigh","27604",,"540 West","4","3","2,337","0-.25 Acres","2022","1/20/2022","5/19/2022","0","$432,920","$434,300"
"2418671","RESIDENTIAL","Single Family Residence","63 Thumper Way","Clayton","27520",,"Kyli Knolls","4","3","2,656",".51-.75 Acres","2022","11/11/2021","6/30/2022","0","$434,309","$434,309"
"2415761","RESIDENTIAL","Single Family Residence","504 Bramble Lane","Clayton","27527","Cottages at Evergreen","Flowers Plantation","2","2","1,780","0-.25 Acres","2021","10/26/2021","6/30/2022","0","$434,434","$434,434"
"2429069","RESIDENTIAL","Single Family Residence","120 Parker Street","Four Oaks","27524",,"Four Oaks Estates","3","3","2,051",".26-.5 Acres","2022","1/30/2022","6/14/2022","0","$419,900","$434,460"
"2401036","RESIDENTIAL","Single Family Residence","1532 Tawny View Lane","Raleigh","27603",,"Dayton Woods","3","2","1,638",".51-.75 Acres","2022","8/11/2021","6/27/2022","0","$434,470","$434,470"
"2418187","RESIDENTIAL","Single Family Residence","144 Cameron Road","Broadway","27505",,"Cameron Road","3","3","2,635","1-2.9 Acres","2021","11/9/2021","6/28/2022","0","$434,900","$434,900"
"LP672844","RESIDENTIAL","Single Family Residence","144 Cameron Road","Broadway","27505",,"Cameron Road","3","3","0","1-2.9 Acres","2021","11/9/2021","6/28/2022","0","$434,900","$434,900"
"2425171","RESIDENTIAL","Single Family Residence","147 Pascoli Court","Clayton","27527",,"San Marino","5","3","2,986",".26-.5 Acres","2022","1/3/2022","4/22/2022","0","$434,999","$434,999"
"2437169","RESIDENTIAL","Single Family Residence","58 Azul Drive","Clayton","27520",,"Brookside","4","3","2,256",".26-.5 Acres","2019","3/18/2022","5/10/2022","2","$395,000","$435,000"
"2432135","RESIDENTIAL","Single Family Residence","890 Drogheda Place","Wake Forest","27587",,"Staffordshire","3","3","2,159",".26-.5 Acres","1989","2/18/2022","4/11/2022","6","$429,000","$435,000"
"2440776","RESIDENTIAL","Single Family Residence","1813 Betry Place","Raleigh","27603",,"Tryon Pines","3","3","1,941",".26-.5 Acres","1997","4/6/2022","5/12/2022","14","$435,000","$435,000"
"2451583","RESIDENTIAL","Single Family Residence","6100 Boxelder Cove","Greensboro","27405-8244",,"Reedy Fork Ranch","4","3","3,206","0-.25 Acres","2006","5/24/2022","6/21/2022","3","$429,900","$435,000"
"2439369","RESIDENTIAL","Townhouse","116 Etteinne Garden Lane","Wake Forest","27587",,"Carraway Gardens at Tryon","3","3","1,648","0-.25 Acres","2022","3/30/2022","6/15/2022","0","$435,000","$435,000"
"2441907","RESIDENTIAL","Single Family Residence","1622 Glengarry Drive","Cary","27511",,"MacDonald Woods","3","3","1,581",".26-.5 Acres","1978","4/11/2022","5/24/2022","4","$432,000","$435,000"
"2441196","RESIDENTIAL","Single Family Residence","1304 Squire Ridge Drive","Fuquay Varina","27526-8171",,"Squire Ridge","4","3","2,096",".51-.75 Acres","1994","4/7/2022","5/9/2022","5","$425,000","$435,000"
"2452018","RESIDENTIAL","Townhouse","1217 Silver Beach Way","Raleigh","27606",,"Silver Lake Bluffs","3","3","1,738","0-.25 Acres","2012","5/27/2022","5/27/2022","0","$435,000","$435,000"
