Mortgage Rates,Zip,Bedrooms,Total Baths,SqFt,Acres,Year Built,List Price,Sold Price,Days on Market,Over Asking,Lat,Lon,Cluster,Price per SqFt
2.79,27312,3,3,1551,1,2005,237000,245730,36,8730,35.7694,-79.1755,1,158.43326885880077
2.79,27529,3,4,2200,1,2021,364900,373575,1,8675,35.6813,-78.5975,4,169.8068181818182
2.79,27616,3,3,1403,1,2003,190000,198500,35,8500,35.8673,-78.5381,4,141.4825374198147
2.79,27609,2,3,1300,1,1985,210000,218000,34,8000,35.848,-78.6317,2,167.69230769230768
2.79,27529,3,4,2200,1,2021,359900,367400,218,7500,35.6813,-78.5975,4,167.0
2.79,27603,3,3,2055,1,2008,305000,312500,57,7500,35.7076,-78.6563,4,152.06812652068126
2.79,27713,3,4,1898,1,2005,239900,247000,35,7100,35.9112,-78.9178,1,130.13698630136986
2.79,27278,3,3,1915,1,2016,265000,272000,39,7000,36.0756,-79.0914,3,142.0365535248042
2.79,27615,2,3,1047,1,1983,154500,161000,48,6500,35.8887,-78.6393,2,153.77268385864377
2.79,27587,3,3,1411,1,1996,175000,181000,31,6000,35.9815,-78.5392,4,128.27781715095676
2.79,27713,2,2,1154,1,1986,192500,198500,36,6000,35.9112,-78.9178,1,172.0103986135182
2.79,27603,3,3,1403,1,2000,215000,221000,54,6000,35.7076,-78.6563,4,157.51960085531005
2.79,27612,2,3,1400,1,2005,240000,246000,33,6000,35.852,-78.6841,2,175.71428571428572
2.79,27615,2,2,1080,1,1982,172500,178000,34,5500,35.8887,-78.6393,2,164.8148148148148
2.79,27603,3,3,1423,1,2003,220000,225250,43,5250,35.7076,-78.6563,4,158.29234012649331
2.79,27613,3,4,1913,1,2003,269900,275000,57,5100,35.8949,-78.7051,2,143.75326711970726
2.79,27616,3,3,1427,1,2003,199900,205000,48,5100,35.8673,-78.5381,4,143.65802382620882
2.79,27520,2,3,1154,1,2001,160000,165000,60,5000,35.6348,-78.451,0,142.98093587521663
2.79,27614,3,4,1924,1,2004,250000,255000,43,5000,35.9457,-78.6433,2,132.53638253638255
2.79,27502,3,3,1722,1,2014,282000,287000,124,5000,35.7225,-78.8408,1,166.66666666666666
2.79,27540,2,3,1635,1,2003,250000,255000,42,5000,35.6263,-78.8458,1,155.96330275229357
2.79,27606,3,3,1917,1,2004,279000,282000,34,3000,35.7645,-78.7112,2,147.10485133020345
2.79,27513,3,3,1775,1,2010,307000,310000,38,3000,35.7956,-78.7941,1,174.64788732394365
2.79,27513,3,3,1890,1,2013,309000,312000,49,3000,35.7956,-78.7941,1,165.0793650793651
2.79,27606,2,3,1711,1,2005,265000,268000,77,3000,35.7645,-78.7112,2,156.63354763296317
2.79,27502,2,3,1660,1,2014,259900,262500,56,2600,35.7225,-78.8408,1,158.13253012048193
2.79,27704,3,3,1634,1,2016,225000,227500,53,2500,36.0383,-78.8764,1,139.22888616891066
2.79,27407,2,3,1088,1,1983,95000,97500,69,2500,36.0334,-79.8626,3,89.61397058823529
2.79,27604,2,3,1206,1,1994,165000,167000,39,2000,35.8334,-78.5799,4,138.4742951907131
2.79,27302,3,3,2279,1,2017,275000,276500,42,1500,36.0979,-79.2719,3,121.32514260640632
2.79,27612,2,3,1966,1,2006,265000,266500,41,1500,35.852,-78.6841,2,135.55442522889115
2.79,27703,3,3,1470,1,2021,263840,265250,170,1410,35.9781,-78.8439,1,180.4421768707483
2.79,27526,3,2,1691,1,2020,238770,240085,200,1315,35.58,-78.7908,1,141.97811945594322
2.79,27519,3,3,1722,1,2013,324900,326001,41,1101,35.8072,-78.887,1,189.31533101045292
2.79,27519,3,3,2055,1,2013,339000,340000,62,1000,35.8072,-78.887,1,165.4501216545012
2.79,27610,4,3,1633,1,2017,190000,191000,56,1000,35.7667,-78.6008,4,116.96264543784446
2.79,27560,3,4,2309,1,2020,365000,365865,184,865,35.8344,-78.8466,1,158.45171069727155
2.79,27614,3,3,1730,1,2002,249900,250000,87,100,35.9457,-78.6433,2,144.50867052023122
2.79,27511,2,3,1225,1,1985,209900,210000,44,100,35.7641,-78.7786,1,171.42857142857142
2.79,27511,3,4,3450,1,1985,700000,700000,47,0,35.7641,-78.7786,1,202.8985507246377
2.79,27609,3,4,2321,1,2014,500000,500000,87,0,35.848,-78.6317,2,215.4243860404998
2.79,27607,3,4,2534,1,2020,950000,950000,511,0,35.8014,-78.6877,2,374.9013417521705
2.79,27703,3,3,1625,1,2016,275000,275000,85,0,35.9781,-78.8439,1,169.23076923076923
2.79,27612,3,3,1996,1,2007,275000,275000,69,0,35.852,-78.6841,2,137.77555110220442
2.79,27539,3,3,2625,1,2015,340000,340000,92,0,35.7225,-78.8408,1,129.52380952380952
2.79,27502,3,4,2334,1,2018,335000,335000,38,0,35.7225,-78.8408,1,143.5304198800343
2.79,27520,3,3,1647,1,2020,221999,221999,173,0,35.6348,-78.451,0,134.7899210686096
2.79,27520,3,3,1647,1,2020,229999,229999,189,0,35.6348,-78.451,0,139.64723740133576
2.79,27520,3,3,1647,1,2020,229999,229999,175,0,35.6348,-78.451,0,139.64723740133576
2.79,27527,3,3,1618,1,2020,227392,227392,168,0,35.6577,-78.3837,0,140.5389369592089
2.79,27502,3,3,1848,1,1992,270000,270000,34,0,35.7225,-78.8408,1,146.1038961038961
2.79,27520,3,3,1647,1,2020,223999,223999,175,0,35.6348,-78.451,0,136.00425015179113
2.79,27502,4,4,2068,1,2020,325135,325135,118,0,35.7225,-78.8408,1,157.22195357833655
2.79,27587,3,3,1811,1,2020,325000,325000,203,0,35.9815,-78.5392,4,179.45886250690225
2.79,27377,3,3,1392,1,2002,150000,150000,57,0,36.033,-79.5972,3,107.75862068965516
2.79,27519,4,4,2178,1,2020,374895,374895,205,0,35.8072,-78.887,1,172.12809917355372
2.79,27523,4,4,2760,1,2020,393200,393200,29,0,35.7225,-78.8408,1,142.46376811594203
2.79,27612,3,4,2448,1,2007,385000,385000,29,0,35.852,-78.6841,2,157.27124183006535
2.79,27519,3,4,2601,1,2020,419900,419900,207,0,35.8072,-78.887,1,161.43790849673204
2.79,27587,3,3,1917,1,2007,200000,200000,67,0,35.9815,-78.5392,4,104.32968179447052
2.79,27713,2,2,1045,1,1984,200000,200000,40,0,35.9112,-78.9178,1,191.38755980861245
2.79,27302,2,2,1283,1,2013,200000,200000,43,0,36.0979,-79.2719,3,155.8846453624318
2.79,27520,3,3,1407,1,2020,212999,212999,148,0,35.6348,-78.451,0,151.38521677327648
2.79,27610,3,3,1573,1,2020,210607,210607,123,0,35.7667,-78.6008,4,133.88874761602034
2.79,27610,3,3,1573,1,2020,214535,214535,125,0,35.7667,-78.6008,4,136.3858868404323
2.79,27610,3,3,1573,1,2020,208552,208552,152,0,35.7667,-78.6008,4,132.58232676414494
2.79,27614,3,3,1675,1,2005,236500,236500,201,0,35.9457,-78.6433,2,141.19402985074626
2.79,27604,3,4,1923,1,2020,261285,261285,115,0,35.8334,-78.5799,4,135.8736349453978
2.79,27612,2,3,1481,1,2006,238000,238000,52,0,35.852,-78.6841,2,160.70222822417287
2.79,27517,3,3,1618,1,1980,240000,240000,34,0,35.9182,-79.0035,1,148.33127317676144
2.79,27613,3,3,1587,1,2004,248500,248500,0,0,35.8949,-78.7051,2,156.5847511027095
2.79,27610,3,3,1693,1,2005,160500,160500,33,0,35.7667,-78.6008,4,94.8021264028352
2.79,27616,3,3,1740,1,2004,160500,160500,33,0,35.8673,-78.5381,4,92.24137931034484
2.79,27616,2,3,1123,1,2006,172000,172000,72,0,35.8673,-78.5381,4,153.16117542297417
2.79,27527,2,3,1212,1,2020,175900,175900,149,0,35.6577,-78.3837,0,145.13201320132012
2.79,27616,2,3,1381,1,1996,189800,189800,92,0,35.8673,-78.5381,4,137.43664011585807
2.79,27616,2,3,1352,1,2002,190000,190000,71,0,35.8673,-78.5381,4,140.53254437869822
2.79,27529,3,3,1840,1,2020,258900,258000,75,-900,35.6813,-78.5975,4,140.2173913043478
2.79,27614,4,3,2192,1,2009,299000,298000,119,-1000,35.9457,-78.6433,2,135.94890510948906
2.79,27560,3,3,1869,1,2016,326990,325500,79,-1490,35.8344,-78.8466,1,174.1573033707865
2.79,27510,2,3,1031,1,1985,169500,168000,76,-1500,35.9055,-79.0901,1,162.9485935984481
2.79,27529,3,3,1730,1,2020,293736,292000,145,-1736,35.6813,-78.5975,4,168.78612716763007
2.79,27513,2,3,1346,1,1988,219900,218000,60,-1900,35.7956,-78.7941,1,161.96136701337295
2.79,27513,2,4,1946,1,1989,255000,253000,54,-2000,35.7956,-78.7941,1,130.0102774922919
2.79,27603,2,4,1982,1,2007,283500,280750,119,-2750,35.7076,-78.6563,4,141.64984863773967
2.79,27560,3,3,1920,1,2016,347900,344000,50,-3900,35.8344,-78.8466,1,179.16666666666666
2.79,27612,3,3,1411,1,1972,191500,187500,93,-4000,35.852,-78.6841,2,132.88447909284196
2.79,27610,3,4,1734,1,2008,200000,196000,70,-4000,35.7667,-78.6008,4,113.03344867358707
2.79,27713,3,3,1730,1,2018,295000,291000,59,-4000,35.9112,-78.9178,1,168.20809248554914
2.79,27517,3,3,1622,1,2003,299500,295000,59,-4500,35.9182,-79.0035,1,181.87422934648583
2.79,27614,3,4,2264,1,2001,289900,285000,112,-4900,35.9457,-78.6433,2,125.88339222614842
2.79,27519,3,4,1646,1,2013,279900,275000,43,-4900,35.8072,-78.887,1,167.07168894289185
2.79,27606,2,2,978,1,1968,135000,130000,75,-5000,35.7645,-78.7112,2,132.92433537832312
2.79,27604,2,2,965,1,2007,185000,180000,162,-5000,35.8334,-78.5799,4,186.52849740932643
2.79,27604,2,3,1225,1,2001,205000,200000,32,-5000,35.8334,-78.5799,4,163.26530612244898
2.79,27612,3,3,2485,1,2001,415000,410000,156,-5000,35.852,-78.6841,2,164.98993963782695
2.79,27502,3,4,2392,1,2018,350000,345000,43,-5000,35.7225,-78.8408,1,144.23076923076923
2.79,27540,4,4,3021,1,2020,369990,364000,165,-5990,35.6263,-78.8458,1,120.48990400529624
2.79,27519,4,4,1970,1,2020,379790,373290,98,-6500,35.8072,-78.887,1,189.4873096446701
2.79,27540,5,4,2985,1,2020,374990,367990,161,-7000,35.6263,-78.8458,1,123.27973199329983
2.79,27511,2,3,1176,1,1981,217500,208500,69,-9000,35.7641,-78.7786,1,177.29591836734693
2.79,27513,4,4,3239,1,2017,459900,450000,118,-9900,35.7956,-78.7941,1,138.9317690645261
2.79,27519,3,3,1597,1,2006,265000,255000,155,-10000,35.8072,-78.887,1,159.67438948027552
2.79,27510,2,3,1053,1,1987,169900,159000,54,-10900,35.9055,-79.0901,1,150.997150997151
2.79,27617,3,3,2621,1,2001,437500,425000,94,-12500,35.9034,-78.7447,2,162.15185043876383
2.79,27519,3,4,2601,1,2019,375900,350000,207,-25900,35.8072,-78.887,1,134.56362937331795
2.77,27707,2,3,1108,1,1984,150000,170000,35,20000,35.9631,-78.9315,1,153.42960288808663
2.77,27703,3,3,1558,1,2021,278320,294755,175,16435,35.9781,-78.8439,1,189.1880616174583
2.77,27610,4,3,1571,1,2014,195000,211000,46,16000,35.7667,-78.6008,4,134.3093570973902
2.77,27607,3,3,1493,1,2011,320000,335000,47,15000,35.8014,-78.6877,2,224.38044206296047
2.77,27604,2,3,1545,1,1997,180000,195000,37,15000,35.8334,-78.5799,4,126.2135922330097
2.77,27519,2,3,1476,1,2006,239000,253500,48,14500,35.8072,-78.887,1,171.7479674796748
2.77,27609,2,2,1244,1,1983,174900,187399,39,12499,35.848,-78.6317,2,150.64228295819936
2.77,27612,2,3,1270,1,2000,219900,231000,28,11100,35.852,-78.6841,2,181.8897637795276
2.77,27516,3,2,1348,1,1990,259500,270000,39,10500,35.9162,-79.0999,1,200.2967359050445
