MLS #,City,Zip,Bedrooms,Total Baths,SqFt,Acres,Year Built,List Date,Closing Date,List Price,Sold Price,Days on Market,Over Asking,Lat,Lon,Cluster,Price per SqFt
2425532,Raleigh,27617,3,2,1434,1,2003,2022-01-05,2022-01-24,260000,295000,19,35000,35.9034,-78.7447,0,205.71827057182705
2442140,Raleigh,27605,2,2,1002,1,1986,2022-04-12,2022-05-09,395000,430000,27,35000,35.7908,-78.653,0,429.14171656686625
2442445,Cary,27513,3,2,1485,1,1997,2022-04-14,2022-04-27,300000,335000,13,35000,35.7956,-78.7941,0,225.58922558922558
2413052,Chapel Hill,27517,3,3,1405,1,1974,2021-10-12,2021-10-22,250000,285000,10,35000,35.9182,-79.0035,1,202.84697508896798
2436028,Raleigh,27601,1,1,831,1,2020,2022-03-12,2022-04-19,465000,500000,38,35000,35.7727,-78.6324,0,601.6847172081829
2428597,Raleigh,27601,2,2,1400,1,2005,2022-01-26,2022-03-01,425000,460000,34,35000,35.7727,-78.6324,0,328.57142857142856
2442119,Carrboro,27510,2,1,792,1,1962,2022-04-12,2022-04-28,215000,250000,16,35000,35.9055,-79.0901,1,315.65656565656565
2465268,Cary,27511,2,1,731,1,1980,2022-07-28,2022-08-29,195000,230000,32,35000,35.7641,-78.7786,0,314.6374829001368
2438004,Raleigh,27603,4,4,1324,1,2002,2022-03-23,2022-05-17,250000,285000,55,35000,35.7076,-78.6563,0,215.25679758308158
2509631,Durham,27701,2,2,1941,1,1984,2023-05-09,2023-06-20,615000,650000,42,35000,35.9967,-78.8966,1,334.87892838742914
2414902,Carrboro,27510,2,2,1465,1,2004,2021-10-21,2021-11-23,365000,400000,33,35000,35.9055,-79.0901,1,273.03754266211604
2374719,Durham,27713,2,2,830,1,1986,2021-03-29,2021-04-23,145000,180000,25,35000,35.9112,-78.9178,1,216.86746987951807
2533445,Durham,27701,3,4,2657,1,1930,2023-09-21,2023-11-01,1890000,1925000,41,35000,35.9967,-78.8966,1,724.5013172751223
2448176,Raleigh,27615,2,2,1763,1,1986,2022-05-10,2022-08-05,330000,365000,87,35000,35.8887,-78.6393,0,207.03346568349406
2435676,Raleigh,27603,1,2,837,1,1890,2022-03-10,2022-04-14,315000,350000,35,35000,35.7076,-78.6563,0,418.1600955794504
2435402,Raleigh,27609,2,2,1100,1,1985,2022-03-09,2022-04-07,175000,210000,29,35000,35.848,-78.6317,0,190.9090909090909
2441165,Cary,27518,2,2,1210,1,1997,2022-04-07,2022-05-25,275000,310000,48,35000,35.7299,-78.7735,0,256.198347107438
2428428,Raleigh,27603,3,2,1085,1,1999,2022-01-17,2022-03-07,215000,250000,49,35000,35.7076,-78.6563,0,230.4147465437788
2437528,Chapel Hill,27516,3,3,1805,1,2011,2022-03-20,2022-05-03,340000,375000,44,35000,35.9162,-79.0999,1,207.7562326869806
2378761,Raleigh,27605,3,4,2748,1,2021,2021-04-20,2022-02-16,1250000,1284619,302,34619,35.7908,-78.653,0,467.47416302765646
2436072,Raleigh,27606,2,3,1140,1,1972,2022-03-12,2022-04-13,196000,230000,32,34000,35.7645,-78.7112,0,201.75438596491227
2424879,Durham,27705,3,3,2106,1,1974,2021-12-30,2022-02-18,335000,369000,50,34000,36.0218,-78.9478,1,175.2136752136752
2385068,Chapel Hill,27517,2,3,1358,1,1989,2021-05-20,2021-06-23,199000,232500,34,33500,35.9182,-79.0035,1,171.2076583210604
2435329,Durham,27713,2,2,1022,1,1986,2022-03-08,2022-03-30,195000,228200,22,33200,35.9112,-78.9178,1,223.2876712328767
2376611,Chapel Hill,27514,2,3,1097,1,1965,2021-04-08,2021-04-27,174900,208000,19,33100,35.9203,-79.0372,1,189.60802187784867
2371266,Cary,27513,2,2,1440,1,1998,2021-03-09,2021-04-15,242900,276000,37,33100,35.7956,-78.7941,0,191.66666666666666
2432179,Raleigh,27614,3,3,1593,1,2013,2022-02-18,2022-03-29,265000,298000,39,33000,35.9457,-78.6433,0,187.06842435655994
2439706,Cary,27513,2,2,1350,1,1997,2022-03-31,2022-06-03,295000,328000,64,33000,35.7956,-78.7941,0,242.96296296296296
2460655,Chapel Hill,27516,3,2,1285,1,2013,2022-07-07,2022-07-21,642500,675000,14,32500,35.9162,-79.0999,1,525.2918287937744
2442195,Chapel Hill,27516,4,4,1208,1,1999,2022-04-13,2022-05-27,238900,271000,44,32100,35.9162,-79.0999,1,224.33774834437085
2426949,Raleigh,27615,3,3,1480,1,1969,2022-01-14,2022-01-28,249900,282000,14,32100,35.8887,-78.6393,0,190.54054054054055
2420753,Chapel Hill,27516,2,2,1180,1,2005,2021-11-24,2021-12-15,368000,400000,21,32000,35.9162,-79.0999,1,338.9830508474576
2470981,Gibsonville,27249,2,2,1450,1,2012,2022-08-26,2022-09-27,275000,307000,32,32000,36.1183,-79.5685,4,211.72413793103448
2387616,Durham,27707,2,3,1481,1,1974,2021-06-03,2021-07-08,230000,262000,35,32000,35.9631,-78.9315,1,176.90749493585415
2451032,Raleigh,27615,2,2,1046,1,1992,2022-05-23,2022-06-21,249900,281900,29,32000,35.8887,-78.6393,0,269.50286806883366
2441419,Raleigh,27609,2,2,838,1,1985,2022-04-08,2022-05-05,313000,345000,27,32000,35.848,-78.6317,0,411.6945107398568
2445875,Chapel Hill,27514,1,1,711,1,2009,2022-04-30,2022-06-16,319000,350000,47,31000,35.9203,-79.0372,1,492.26441631504923
10017767,Durham,27705,3,3,1792,1,1974,2024-03-18,2024-04-25,399000,430000,38,31000,36.0218,-78.9478,1,239.95535714285714
2418632,Raleigh,27615,3,3,1486,1,1986,2021-11-11,2021-12-16,250000,281000,35,31000,35.8887,-78.6393,0,189.09825033647377
2510126,Chapel Hill,27514,2,2,1141,1,1984,2023-05-11,2023-06-05,195000,226000,25,31000,35.9203,-79.0372,1,198.07186678352323
2424398,Chapel Hill,27516,1,1,744,1,2002,2021-12-24,2022-03-04,225000,256000,70,31000,35.9162,-79.0999,1,344.0860215053763
2381025,Raleigh,27605,2,3,1248,1,1988,2021-04-30,2021-06-04,385000,416000,35,31000,35.7908,-78.653,0,333.3333333333333
2384588,Cary,27513,3,2,1359,1,2007,2021-05-18,2021-08-18,250000,281000,92,31000,35.7956,-78.7941,0,206.76968359087564
2430160,Raleigh,27614,3,3,1693,1,2004,2022-02-06,2022-03-03,264000,295000,25,31000,35.9457,-78.6433,0,174.24689899586534
2494292,Chapel Hill,27517,3,3,2292,1,2004,2023-02-09,2023-03-02,740000,771000,21,31000,35.9182,-79.0035,1,336.3874345549738
2426617,Chapel Hill,27516,2,2,1255,1,1998,2022-01-12,2022-02-09,369000,400000,28,31000,35.9162,-79.0999,1,318.7250996015936
2377540,Raleigh,27617,3,3,2004,1,2008,2021-04-14,2021-06-02,325000,355799,49,30799,35.9034,-78.7447,0,177.54441117764472
2430564,Charlotte,28210,2,1,954,1,1987,2022-02-09,2022-02-22,215000,245750,13,30750,35.1316,-80.8577,3,257.5995807127883
2454560,Durham,27703,1,2,960,1,2008,2022-06-09,2022-07-20,220000,250500,41,30500,35.9781,-78.8439,1,260.9375
2465237,Durham,27705,2,2,1018,1,2007,2022-07-28,2022-08-12,389500,420000,15,30500,36.0218,-78.9478,1,412.573673870334
2452874,Raleigh,27615,3,3,1549,1,1979,2022-06-02,2022-07-05,265000,295250,33,30250,35.8887,-78.6393,0,190.6068431245965
2443234,Chapel Hill,27517,2,3,1250,1,1987,2022-04-18,2022-05-16,299900,330000,28,30100,35.9182,-79.0035,1,264.0
2443348,Raleigh,27608,3,3,1425,1,2009,2022-04-19,2022-05-24,534900,565000,35,30100,35.8077,-78.6463,0,396.49122807017545
2461861,Chapel Hill,27514,2,3,1086,1,1965,2022-07-13,2022-07-29,289900,320000,16,30100,35.9203,-79.0372,1,294.6593001841621
2522984,Chapel Hill,27516,2,2,1296,2,2009,2023-07-21,2023-08-21,589900,620000,31,30100,35.9162,-79.0999,1,478.39506172839504
2395251,Raleigh,27603,3,2,1092,1,1999,2021-06-17,2021-08-31,184900,215000,75,30100,35.7076,-78.6563,0,196.8864468864469
2383007,Chapel Hill,27517,2,3,1100,1,1991,2021-05-10,2021-07-06,234900,265000,57,30100,35.9182,-79.0035,1,240.9090909090909
2382688,Raleigh,27605,1,1,716,1,1986,2021-05-08,2021-06-15,239900,270000,38,30100,35.7908,-78.653,0,377.0949720670391
2462473,Morrisville,27560,3,2,1407,1,2000,2022-07-14,2022-08-15,280000,310001,32,30001,35.8344,-78.8466,1,220.3276474769012
2383713,Raleigh,27615,3,3,1320,1,1979,2021-05-12,2021-06-22,180000,210000,41,30000,35.8887,-78.6393,0,159.0909090909091
2530458,Chapel Hill,27517,3,3,2452,1,2004,2023-09-04,2023-10-06,780000,810000,32,30000,35.9182,-79.0035,1,330.3425774877651
2471778,Chapel Hill,27517,3,3,2282,1,2004,2022-09-01,2022-09-27,715000,745000,26,30000,35.9182,-79.0035,1,326.46801051709025
2422832,Raleigh,27608,2,3,1275,1,2001,2021-12-10,2022-01-19,320000,350000,40,30000,35.8077,-78.6463,0,274.5098039215686
10022879,Chapel Hill,27516,2,2,1258,1,1998,2024-04-12,2024-05-20,395000,425000,38,30000,35.9162,-79.0999,1,337.8378378378378
2428957,Raleigh,27614,3,3,1604,1,2012,2022-01-27,2022-03-03,250000,280000,35,30000,35.9457,-78.6433,0,174.5635910224439
2502677,Durham,27713,2,2,907,1,1986,2023-03-31,2023-05-02,200000,230000,32,30000,35.9112,-78.9178,1,253.5832414553473
2455375,Gibsonville,27249,2,2,1713,1,2008,2022-06-12,2022-08-30,275000,305000,79,30000,36.1183,-79.5685,4,178.05020431990658
